Volume,Volume Weighted,Open,Close,High,Low,Timestamp,Number of Trades
63075503.0,164.8395,164.02,164.92,165.82,163.25,2022-08-09 00:00:00-04:00,480552
70170540.0,168.3496,167.68,169.24,169.34,166.9,2022-08-10 00:00:00-04:00,559789
57142109.0,169.3737,170.06,168.49,170.99,168.19,2022-08-11 00:00:00-04:00,507914
68039382.0,171.0754,169.82,172.1,172.17,169.4,2022-08-12 00:00:00-04:00,557624
54091694.0,172.6254,171.52,173.19,173.39,171.345,2022-08-15 00:00:00-04:00,501625
56377050.0,172.7427,172.78,173.03,173.71,171.6618,2022-08-16 00:00:00-04:00,515134
79542037.0,174.3135,172.77,174.55,176.15,172.57,2022-08-17 00:00:00-04:00,686577
62290075.0,174.1366,173.75,174.15,174.9,173.12,2022-08-18 00:00:00-04:00,545655
70336995.0,172.2302,173.03,171.52,173.74,171.3101,2022-08-19 00:00:00-04:00,573126
68975809.0,168.2677,169.69,167.57,169.86,167.135,2022-08-22 00:00:00-04:00,620800
54147079.0,167.6231,167.08,167.23,168.71,166.65,2022-08-23 00:00:00-04:00,494686
53841524.0,167.3144,167.32,167.53,168.11,166.245,2022-08-24 00:00:00-04:00,476970
51218209.0,169.3503,168.78,170.03,170.14,168.35,2022-08-25 00:00:00-04:00,465398
78960980.0,165.9997,170.57,163.62,171.05,163.56,2022-08-26 00:00:00-04:00,722008
73313953.0,161.5291,161.145,161.38,162.9,159.82,2022-08-29 00:00:00-04:00,640593
77906197.0,159.2926,162.13,158.91,162.56,157.72,2022-08-30 00:00:00-04:00,644671
87991091.0,158.3972,160.305,157.22,160.58,157.14,2022-08-31 00:00:00-04:00,606827
74229896.0,156.5232,156.64,157.96,158.42,154.67,2022-09-01 00:00:00-04:00,654667
76807768.0,157.6597,159.75,155.81,160.362,154.965,2022-09-02 00:00:00-04:00,646414
73714843.0,155.012,156.47,154.53,157.09,153.69,2022-09-06 00:00:00-04:00,687436
87293824.0,155.306,154.825,155.96,156.67,153.61,2022-09-07 00:00:00-04:00,696954
84909447.0,154.3949,154.64,154.46,156.36,152.68,2022-09-08 00:00:00-04:00,697264
68081006.0,156.6625,155.47,157.37,157.82,154.75,2022-09-09 00:00:00-04:00,532851
104955962.0,162.4763,159.59,163.43,164.26,159.3,2022-09-12 00:00:00-04:00,801512
122651554.0,156.1544,159.9,153.84,160.54,153.37,2022-09-13 00:00:00-04:00,1018108
87935409.0,155.2607,154.785,155.31,157.1,153.6106,2022-09-14 00:00:00-04:00,716065
90481110.0,153.0058,154.65,152.37,155.24,151.38,2022-09-15 00:00:00-04:00,741143
160940131.0,150.2326,151.21,150.7,151.35,148.37,2022-09-16 00:00:00-04:00,850351
81474246.0,152.5543,149.31,154.48,154.56,149.1,2022-09-19 00:00:00-04:00,671956
107639796.0,156.1314,153.4,156.9,158.08,153.08,2022-09-20 00:00:00-04:00,792170
101696790.0,156.2959,157.34,153.72,158.74,153.6,2022-09-21 00:00:00-04:00,785023
86652542.0,152.5709,152.38,152.74,154.47,150.91,2022-09-22 00:00:00-04:00,686879
96029909.0,150.0222,151.19,150.43,151.47,148.56,2022-09-23 00:00:00-04:00,766882
93339409.0,151.5222,149.66,150.77,153.7701,149.64,2022-09-26 00:00:00-04:00,747666
84282741.0,152.1335,152.74,151.76,154.72,149.945,2022-09-27 00:00:00-04:00,683776
