Date,Open,High,Low,Close,Volume,Number of Trades
2022-08-05,163.21,165.85,163.0,165.35,56696985.0,491310
2022-08-08,166.37,167.81,164.2,164.87,60362338.0,540017
2022-08-09,164.02,165.82,163.25,164.92,63075503.0,480552
2022-08-10,167.68,169.34,166.9,169.24,70170540.0,559789
2022-08-11,170.06,170.99,168.19,168.49,57142109.0,507914
2022-08-12,169.82,172.17,169.4,172.1,68039382.0,557624
2022-08-15,171.52,173.39,171.345,173.19,54091694.0,501625
2022-08-16,172.78,173.71,171.6618,173.03,56377050.0,515134
2022-08-17,172.77,176.15,172.57,174.55,79542037.0,686577
2022-08-18,173.75,174.9,173.12,174.15,62290075.0,545655
2022-08-19,173.03,173.74,171.3101,171.52,70336995.0,573126
2022-08-22,169.69,169.86,167.135,167.57,68975809.0,620800
2022-08-23,167.08,168.71,166.65,167.23,54147079.0,494686
2022-08-24,167.32,168.11,166.245,167.53,53841524.0,476970
2022-08-25,168.78,170.14,168.35,170.03,51218209.0,465398
2022-08-26,170.57,171.05,163.56,163.62,78960980.0,722008
2022-08-29,161.145,162.9,159.82,161.38,73313953.0,640593
2022-08-30,162.13,162.56,157.72,158.91,77906197.0,644671
2022-08-31,160.305,160.58,157.14,157.22,87991091.0,606827
2022-09-01,156.64,158.42,154.67,157.96,74229896.0,654667
2022-09-02,159.75,160.362,154.965,155.81,76807768.0,646414
2022-09-06,156.47,157.09,153.69,154.53,73714843.0,687436
2022-09-07,154.825,156.67,153.61,155.96,87293824.0,696954
2022-09-08,154.64,156.36,152.68,154.46,84909447.0,697264
2022-09-09,155.47,157.82,154.75,157.37,68081006.0,532851
2022-09-12,159.59,164.26,159.3,163.43,104955962.0,801512
2022-09-13,159.9,160.54,153.37,153.84,122651554.0,1018108
2022-09-14,154.785,157.1,153.6106,155.31,87935409.0,716065
2022-09-15,154.65,155.24,151.38,152.37,90481110.0,741143
2022-09-16,151.21,151.35,148.37,150.7,160940131.0,850351
2022-09-19,149.31,154.56,149.1,154.48,81474246.0,671956
2022-09-20,153.4,158.08,153.08,156.9,107639796.0,792170
2022-09-21,157.34,158.74,153.6,153.72,101696790.0,785023
2022-09-22,152.38,154.47,150.91,152.74,86652542.0,686879
2022-09-23,151.19,151.47,148.56,150.43,96029909.0,766882
2022-09-26,149.66,153.7701,149.64,150.77,93339409.0,747666
2022-09-27,152.74,154.72,149.945,151.76,84282741.0,683776
2022-09-28,147.64,150.6414,144.84,149.84,146661387.0,1142717
2022-09-29,146.1,146.72,140.68,142.48,128138237.0,1067281
2022-09-30,141.28,143.1,138.0,138.2,124910274.0,947003
2022-10-03,138.21,143.07,137.685,142.45,114311663.0,838786
2022-10-04,145.03,146.22,144.26,146.1,87780064.0,687504
2022-10-05,144.075,147.38,143.01,146.4,79269968.0,605861
2022-10-06,145.81,147.54,145.22,145.43,68308669.0,538671
2022-10-07,142.54,143.1,139.445,140.09,85925559.0,666459
2022-10-10,140.42,141.89,138.5729,140.42,74899002.0,620863
2022-10-11,139.9,141.35,138.22,138.98,77001872.0,608882
2022-10-12,139.13,140.36,138.16,138.34,69933744.0,553185
2022-10-13,134.99,143.59,134.37,142.99,113223975.0,874139
2022-10-14,144.31,144.52,138.19,138.38,88597969.0,689680
2022-10-17,141.065,142.9,140.27,142.41,85250639.0,634583
2022-10-18,145.49,146.7,140.61,143.75,99130632.0,785416
2022-10-19,141.69,144.9492,141.5,143.86,61757790.0,511348
2022-10-20,143.02,145.89,142.65,143.39,64521989.0,517760
2022-10-21,142.87,147.8479,142.649,147.27,86548459.0,621571
2022-10-24,147.185,150.23,146.0,149.45,75981918.0,653020
2022-10-25,150.09,152.49,149.36,152.34,74682290.0,581421
2022-10-26,150.96,151.99,148.04,149.35,87883672.0,694793
2022-10-27,148.07,149.046,144.13,144.8,109161970.0,944053
2022-10-28,148.2,157.5,147.82,155.74,164762371.0,1228075
2022-10-31,153.155,154.24,151.92,153.34,97932271.0,726843
2022-11-01,155.08,155.45,149.13,150.65,80379345.0,650595
2022-11-02,148.945,152.17,145.0,145.03,93604623.0,788400
2022-11-03,142.06,142.8,138.75,138.88,97917166.0,871800
2022-11-04,142.09,142.67,134.38,138.38,140494796.0,1161631
2022-11-07,137.11,139.145,135.671,138.92,83364228.0,715005
2022-11-08,140.41,141.43,137.49,139.5,89908477.0,637312
2022-11-09,138.5,138.55,134.5933,134.87,74903262.0,632982
2022-11-10,141.24,146.87,139.5,146.87,118854028.0,875048
2022-11-11,145.82,150.01,144.37,149.7,93966273.0,742241
2022-11-14,148.97,150.28,147.43,148.28,73374114.0,576289
2022-11-15,152.215,153.59,148.5613,150.04,89868332.0,703669
2022-11-16,149.13,149.87,147.29,148.79,64218266.0,472247
2022-11-17,146.43,151.48,146.15,150.72,80389400.0,563714
2022-11-18,152.305,152.7,149.97,151.29,74829573.0,514103
2022-11-21,150.16,150.37,147.715,148.01,58724070.0,504777
2022-11-22,148.13,150.42,146.925,150.18,51804132.0,405185
2022-11-23,149.45,151.83,149.34,151.07,58283895.0,444423
2022-11-25,148.305,148.88,147.12,148.11,35195860.0,319570
2022-11-28,145.14,146.64,143.38,144.22,69346522.0,614357
2022-11-29,144.29,144.81,140.355,141.17,83736803.0,713280
2022-11-30,141.395,148.72,140.55,148.03,111314880.0,707647
2022-12-01,148.21,149.13,146.61,148.31,71250416.0,525985
2022-12-02,145.96,148.0,145.65,147.81,65438446.0,464550
2022-12-05,147.77,150.9199,145.77,146.63,68826442.0,586791
2022-12-06,147.075,147.3,141.92,142.91,64727186.0,537304
2022-12-07,142.19,143.37,140.0,140.94,69721094.0,565392
2022-12-08,142.36,143.52,141.1,142.65,62128338.0,456121
2022-12-09,142.34,145.57,140.9,142.16,76084511.0,530236
2022-12-12,142.7,144.5,141.06,144.49,70462654.0,492710
2022-12-13,149.5,149.9692,144.24,145.47,93486161.0,706525
2022-12-14,145.35,146.655,141.16,143.21,82211182.0,597870
2022-12-15,141.11,141.8,136.025,136.5,98463907.0,879346
2022-12-16,136.685,137.65,133.73,134.51,160063600.0,821076
2022-12-19,135.11,135.2,131.32,132.37,79592614.0,705820
2022-12-20,131.39,133.25,129.89,132.3,77430718.0,640693
2022-12-21,132.98,136.81,132.75,135.45,85927993.0,588684
2022-12-22,134.352,134.56,130.3,132.23,77696108.0,643294
2022-12-23,130.92,132.415,129.64,131.86,63802893.0,541274
